kode_bps,nama_bps,kode_dagri,nama_dagri
1223,LABUHAN BATU UTARA,12.23,KAB. LABUHANBATU UTARA
1224,NIAS UTARA,12.24,KAB. NIAS UTARA
1225,NIAS BARAT,12.25,KAB. NIAS BARAT
1271,SIBOLGA,12.73,KOTA SIBOLGA
1272,TANJUNG BALAI,12.74,KOTA TANJUNG BALAI
1273,PEMATANG SIANTAR,12.72,KOTA PEMATANGSIANTAR
1274,TEBING TINGGI,12.76,KOTA TEBING TINGGI
1275,MEDAN,12.71,KOTA MEDAN
1276,BINJAI,12.75,KOTA BINJAI
1277,PADANGSIDIMPUAN,12.77,KOTA PADANG SIDEMPUAN
1278,GUNUNGSITOLI,12.78,KOTA GUNUNGSITOLI
1301,KEPULAUAN MENTAWAI,13.09,KAB. KEPULAUAN MENTAWAI
1302,PESISIR SELATAN,13.01,KAB. PESISIR SELATAN
1303,SOLOK,13.02,KAB. SOLOK
1304,SIJUNJUNG,13.03,KAB. SIJUNJUNG
1305,TANAH DATAR,13.04,KAB. TANAH DATAR
1306,PADANG PARIAMAN,13.05,KAB. PADANG PARIAMAN
1307,AGAM,13.06,KAB. AGAM
1308,LIMA PULUH KOTA,13.07,KAB. LIMA PULUH KOTA
1309,PASAMAN,13.08,KAB. PASAMAN
1310,SOLOK SELATAN,13.11,KAB. SOLOK SELATAN
1311,DHARMASRAYA,13.1,KAB. DHARMASRAYA
1312,PASAMAN BARAT,13.12,KAB. PASAMAN BARAT
1371,PADANG,13.71,KOTA PADANG
1372,SOLOK,13.72,KOTA SOLOK
1373,SAWAH LUNTO,13.73,KOTA SAWAHLUNTO
1374,PADANG PANJANG,13.74,KOTA PADANG PANJANG
1375,BUKITTINGGI,13.75,KOTA BUKITTINGGI
1376,PAYAKUMBUH,13.76,KOTA PAYAKUMBUH
1377,PARIAMAN,13.77,KOTA PARIAMAN
1401,KUANTAN SINGINGI,14.09,KAB. KUANTAN SINGINGI
1402,INDRAGIRI HULU,14.02,KAB. INDRAGIRI HULU
1403,INDRAGIRI HILIR,14.04,KAB. INDRAGIRI HILIR
1404,PELALAWAN,14.05,KAB.  PELALAWAN
1405,S I A K,14.08,KAB. SIAK
1406,KAMPAR,14.01,KAB. KAMPAR
1407,ROKAN HULU,14.06,KAB.  ROKAN HULU
1408,BENGKALIS,14.03,KAB. BENGKALIS
