kode_bps,nama_bps,kode_dagri,nama_dagri
1203102,MUARA BATANG TORU,12.03.29,MUARA BATANG TORU
1203110,SIPIROK,12.03.04,SIPIROK
1203120,ARSE,12.03.14,ARSE
1203160,SAIPAR DOLOK HOLE,12.03.05,SAIPAR DOLOK HOLE
1203161,AEK BILAH,12.03.22,AEK BILAH
1204010,PINANG SORI,12.01.04,PINANGSORI
1204011,BADIRI,12.01.15,BADIRI
1204020,SIBABANGUN,12.01.08,SIBABANGUN
1204021,LUMUT,12.01.19,LUMUT
1204022,SUKABANGUN,12.01.18,SUKA BANGUN
1204030,PANDAN,12.01.03,PANDAN
1204031,TUKKA,12.01.14,TUKKA
1204032,SARUDIK,12.01.20,SARUDIK
1204040,TAPIAN NAULI,12.01.07,TAPIAN NAULI
1204041,SITAHUIS,12.01.13,SITAHUIS
1204050,KOLANG,12.01.06,KOLANG
1204060,SORKAM,12.01.02,SORKAM
1204061,SORKAM BARAT,12.01.10,SORKAM BARAT
1204062,PASARIBU TOBING,12.01.16,PASARIBU TOBING
1204070,BARUS,12.01.01,BARUS
1204071,SOSOR GADONG,12.01.09,SOSORGADONG
1204072,ANDAM DEWI,12.01.12,ANDAM DEWI
1204073,BARUS UTARA,12.01.17,BARUS UTARA
1204080,MANDUAMAS,12.01.05,MANDUAMAS
1204081,SIRANDORUNG,12.01.11,SIRANDORUNG
1205030,PARMONANGAN,12.02.11,PARMONANGAN
1205040,ADIANKOTING,12.02.03,ADIAN KOTING
1205050,SIPOHOLON,12.02.04,SIPOHOLON
1205060,TARUTUNG,12.02.01,TARUTUNG
1205061,SIATAS BARITA,12.02.02,SIATAS BARITA
1205070,PAHAE JULU,12.02.05,PAHAE JULU
1205080,PAHAE JAE,12.02.06,PAHAE JAE
1205081,PURBATUA,12.02.08,PURBA TUA
1205082,SIMANGUMBAN,12.02.07,SIMANGUMBAN
1205090,PANGARIBUAN,12.02.13,PANGARIBUAN
1205100,GAROGA,12.02.14,GAROGA
1205110,SIPAHUTAR,12.02.12,SIPAHUTAR
1205120,SIBORONGBORONG,12.02.09,SIBORONG-BORONG
1205130,PAGARAN,12.02.10,PAGARAN
1205180,MUARA,12.02.15,MUARA
1206030,BALIGE,12.12.01,BALIGE
1206031,TAMPAHAN,12.12.22,TAMPAHAN
1206040,LAGUBOTI,12.12.02,LAGUBOTI
1206050,HABINSARAN,12.12.04,HABINSARAN
1206051,BORBOR,12.12.06,BORBOR
1206052,NASSAU,12.12.21,NASSAU
1206060,SILAEN,12.12.03,SILAEN
1206061,SIGUMPAR,12.12.19,SIGUMPAR
1206070,PORSEA,12.12.07,PORSEA
1206071,PINTU POHAN MERANTI,12.12.05,PINTU POHAN MERANTI
1206072,SIANTAR NARUMONDA,12.12.20,SIANTAR NARUMONDA
1206073,PARMAKSIAN,12.12.24,PARMAKSIAN
1206080,LUMBAN JULU,12.12.09,LUMBAN JULU
1206081,ULUAN,12.12.10,ULUAN
1206082,AJIBATA,12.12.08,AJIBATA
1206083,BONATUA LUNASI,12.12.23,BONATUA LUNASI
1207050,BILAH HULU,12.10.09,BILAH HULU
1207070,PANGKATAN,12.10.14,PANGKATAN
1207080,BILAH BARAT,12.10.07,BILAH BARAT
1207130,BILAH HILIR,12.10.08,BILAH HILIR
1207140,PANAI HULU,12.10.20,PANAI HULU
1207150,PANAI TENGAH,12.10.18,PANAI TENGAH
1207160,PANAI HILIR,12.10.19,PANAI HILIR
1207210,RANTAU SELATAN,12.10.02,RANTAU SELATAN
1207220,RANTAU UTARA,12.10.01,RANTAU UTARA
1208010,BANDAR PASIR MANDOGE,12.09.17,BANDAR PASIR MANDOGE
1208020,BANDAR PULAU,12.09.15,BANDAR PULAU
1208021,AEK SONGSONGAN,12.09.21,AEK SONGSONGAN
1208022,RAHUNING,12.09.22,RAHUNIG
1208030,PULAU RAKYAT,12.09.14,PULAU RAKYAT
1208031,AEK KUASAN,12.09.18,AEK KUASAN
1208032,AEK LEDONG,12.09.32,AEK LEDONG
1208040,SEI KEPAYANG,12.09.11,SEI KEPAYANG
1208041,SEI KEPAYANG BARAT,12.09.24,SEI KEPAYANG BARAT
1208042,SEI KEPAYANG TIMUR,12.09.25,SEI KEPAYANG TIMUR
1208050,TANJUNG BALAI,12.09.10,TANJUNG BALAI
1208060,SIMPANG EMPAT,12.09.12,SIMPANG EMPAT
1208061,TELUK DALAM,12.09.31,TELUK DALAM
1208070,AIR BATU,12.09.13,AIR BATU
1208071,SEI DADAP,12.09.23,SEI DADAP
1208080,BUNTU PANE,12.09.16,BUNTU PANE
1208081,TINGGI RAJA,12.09.26,TINGGI RAJA
1208082,SETIA JANJI,12.09.27,SETIA JANJI
1208090,MERANTI,12.09.08,MERANTI
1208091,PULO BANDRING,12.09.30,PULO BANDRING
1208092,RAWANG PANCA ARGA,12.09.29,RAWANG PANCA ARGA
1208100,AIR JOMAN,12.09.09,AIR JOMAN
1208101,SILAU LAUT,12.09.28,SILAU LAUT
1208160,KISARAN BARAT,12.09.19,KOTA KISARAN BARAT
1208170,KISARAN TIMUR,12.09.20,KOTA KISARAN TIMUR
1209010,SILIMAKUTA,12.08.25,SILIMAKUTA
1209011,PEMATANG SILIMAHUTA,12.08.31,PAMATANG SILIMA HUTA
1209020,PURBA,12.08.14,PURBA
1209021,HARANGGAOL HORISON,12.08.15,HARANGGAOL HORISON
1209030,DOLOK PARDAMEAN,12.08.20,DOLOK PARDAMEAN
